Mobile,Colour,Ram,Storage,Amazon_Price,Flipkart_Price,Price_Difference
REDMI 9 POWER,BLAZING BLUE,4GB,64GB,10499,10499,0
REDMI 9 PRIME,MATTE BLACK,4GB,64GB,9999,9999,0
REDMI 9 PRIME,MINT GREEN,4GB,64GB,9999,9999,0
REDMI 9 PRIME,SPACE BLUE,4GB,64GB,9999,9999,0
REDMI 9 ACTIV,CARBON BLACK,4GB,64GB,8799,10844,2045
